Date:date,year:year,Diesel (nominal):number,"All petrol, unleaded equivalent (nominal):number","All fuel, unleaded petrol equivalent (nominal):number","All fuel, unleaded petrol equivalent (real*):number","Average, all fuel, unleaded petrol equivalent (real*, weighted by consumption):number","All fuel, unleaded petrol equivalent (real*, excl. tax):text","Average, all fuel, unleaded petrol equivalent (real*, weighted by consumption, excl. tax):number","Diesel (nominal, excl. tax):text","All fuel, unleaded petrol equivalent (nominal, excl. tax):text","All petrol, unleaded equivalent (nominal, excl. tax):text"
1980-01-15,,0.364,0.482,0.392,0.986,1.163,,0.459,,,
1980-04-15,,0.39,0.518,0.42,1.047,1.163,,0.459,,,
1980-07-15,,0.4,0.535,0.433,1.077,1.163,,0.459,,,
1980-10-15,,0.401,0.525,0.428,1.052,1.163,,0.459,,,
1981-01-15,,0.414,0.562,0.453,1.023,1.163,,0.459,,,
1981-04-15,,0.459,0.618,0.499,1.095,1.163,,0.459,,,
1981-07-15,,0.465,0.646,0.517,1.101,1.163,,0.459,,,
1981-10-15,,0.476,0.652,0.524,1.083,1.163,,0.459,,,
1982-01-15,,0.486,0.647,0.524,1.15,1.163,,0.459,,,
1982-04-15,,0.479,0.631,0.513,1.105,1.163,,0.459,,,
1982-07-15,,0.5,0.674,0.544,1.136,1.163,,0.459,,,
1982-10-15,,0.529,0.709,0.573,1.171,1.163,,0.459,,,
1983-01-15,,0.53,0.68,0.557,1.117,1.163,,0.459,,,
1983-04-15,,0.508,0.674,0.547,1.084,1.163,,0.459,,,
1983-07-15,,0.515,0.703,0.566,1.101,1.163,,0.459,,,
1983-10-15,,0.527,0.711,0.574,1.091,1.163,,0.459,,,
1984-01-15,,0.535,0.718,0.581,1.09,1.163,,0.459,,,
1984-04-15,,0.539,0.707,0.576,1.066,1.163,,0.459,,,
1984-07-15,,0.537,0.719,0.582,1.058,1.163,,0.459,,,
1984-10-15,,0.571,0.745,0.608,1.083,1.163,,0.459,,,
1985-01-15,,0.576,0.733,0.603,1.063,1.163,,0.459,,,
1985-04-15,,0.609,0.765,0.631,1.097,1.163,,0.459,,,
1985-07-15,,0.572,0.767,0.622,1.069,1.163,,0.459,,,
1985-10-15,,0.58,0.737,0.606,1.028,1.163,,0.459,,,
1986-01-15,,0.543,0.7,0.571,0.992,1.163,,0.459,,,
1986-04-15,,0.482,0.615,0.503,0.874,1.163,,0.459,,,
1986-07-15,,0.432,0.596,0.476,0.819,1.163,,0.459,,,
1986-10-15,,0.444,0.633,0.501,0.853,1.163,,0.459,,,
1987-01-15,,0.446,0.608,0.489,0.818,1.163,,0.459,,,
1987-04-15,,0.447,0.617,0.494,0.819,1.163,,0.459,,,
1987-07-15,,0.438,0.611,0.488,0.801,1.163,,0.459,,,
1987-10-15,,0.452,0.612,0.493,0.804,1.163,,0.459,,,
1988-01-15,,0.44,0.589,0.476,0.771,1.163,,0.459,,,
1988-04-15,,0.44,0.603,0.483,0.772,1.163,,0.459,,,
1988-07-15,,0.441,0.615,0.49,0.771,1.163,,0.459,,,
1988-10-15,,0.438,0.605,0.484,0.752,1.163,,0.459,,,
1989-01-15,,0.461,0.627,0.505,0.775,1.163,,0.459,,,
1989-04-15,,0.48,0.68,0.542,0.815,1.163,,0.459,,,
1989-07-15,,0.466,0.659,0.525,0.781,1.163,,0.459,,,
1989-10-15,,0.498,0.662,0.538,0.79,1.163,,0.459,,,
1990-01-15,,0.526,0.653,0.546,0.793,1.163,,0.459,,,
1990-04-15,,0.499,0.657,0.538,0.772,1.163,,0.459,,,
1990-07-15,,0.487,0.664,0.538,0.764,1.163,,0.459,,,
1990-10-15,,0.608,0.776,0.643,0.9,1.163,,0.459,,,
1991-01-15,,0.581,0.697,0.593,0.825,1.163,,0.459,,,
1991-04-15,,0.548,0.711,0.588,0.809,1.163,,0.459,,,
1991-07-15,,0.568,0.765,0.627,0.85,1.163,,0.459,,,
1991-10-15,,0.585,0.753,0.626,0.841,1.163,,0.459,,,
1992-01-15,,0.558,0.724,0.603,0.804,1.163,,0.459,,,
1992-04-15,,0.569,0.751,0.622,0.825,1.163,,0.459,,,
1992-07-15,,0.571,0.749,0.621,0.82,1.163,,0.459,,,
1992-10-15,,0.566,0.738,0.614,0.807,1.163,,0.459,,,
1993-01-15,,0.572,0.73,0.614,0.803,1.163,,0.459,,,
1993-04-15,,0.58,0.745,0.626,0.807,1.163,,0.459,,,
1993-07-15,,0.582,0.761,0.635,0.814,1.163,,0.459,,,
1994-01-03,,0.603,0.764,0.647,0.814,1.163,,0.459,,,
1994-01-10,,0.601,0.763,0.645,0.813,1.163,,0.459,,,
1994-01-17,,0.61,0.772,0.653,0.823,1.163,,0.459,,,
1994-01-24,,0.61,0.77,0.652,0.822,1.163,,0.459,,,
1994-01-31,,0.61,0.771,0.653,0.822,1.163,,0.459,,,
1994-02-07,,0.611,0.779,0.657,0.825,1.163,,0.459,,,
1994-02-14,,0.609,0.778,0.656,0.824,1.163,,0.459,,,
1994-02-21,,0.605,0.775,0.653,0.82,1.163,,0.459,,,
1994-02-28,,0.601,0.774,0.651,0.817,1.163,,0.459,,,
1994-03-07,,0.602,0.776,0.652,0.816,1.163,,0.459,,,
1994-03-14,,0.598,0.771,0.649,0.811,1.163,,0.459,,,
1994-03-21,,0.595,0.767,0.645,0.807,1.163,,0.459,,,
1994-03-28,,0.595,0.77,0.647,0.809,1.163,,0.459,,,
1994-04-11,,0.6,0.778,0.652,0.813,1.163,,0.459,,,
1994-04-18,,0.604,0.783,0.657,0.819,1.163,,0.459,,,
1994-04-25,,0.604,0.783,0.657,0.819,1.163,,0.459,,,
1994-05-02,,0.607,0.787,0.66,0.822,1.163,,0.459,,,
1994-05-09,,0.604,0.784,0.657,0.818,1.163,,0.459,,,
1994-05-16,,0.607,0.788,0.661,0.822,1.163,,0.459,,,
1994-05-23,,0.603,0.79,0.66,0.822,1.163,,0.459,,,
1994-05-30,,0.602,0.789,0.66,0.821,1.163,,0.459,,,
1994-06-06,,0.601,0.792,0.661,0.821,1.163,,0.459,,,
1994-06-13,,0.6,0.791,0.66,0.82,1.163,,0.459,,,
1994-06-20,,0.599,0.788,0.658,0.817,1.163,,0.459,,,
1994-06-27,,0.599,0.787,0.657,0.816,1.163,,0.459,,,
1994-07-04,,0.598,0.786,0.656,0.814,1.163,,0.459,,,
1994-07-11,,0.595,0.784,0.654,0.812,1.163,,0.459,,,
1994-07-18,,0.592,0.78,0.651,0.808,1.163,,0.459,,,
1994-07-25,,0.595,0.785,0.655,0.813,1.163,,0.459,,,
1994-08-01,,0.595,0.788,0.656,0.812,1.163,,0.459,,,
1994-08-08,,0.602,0.797,0.664,0.821,1.163,,0.459,,,
1994-08-22,,0.594,0.797,0.661,0.817,1.163,,0.459,,,
